Personnel_No,Personnel_Subarea,Personnel_Area,Cost_Ctr,Cost_Center,Gender_Key,Job_Position,Entry,Leaving_date/Today,Birth_date,length_of_service,Age,Status
60506595,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12170,MV Tire Assembly PLT,Male,Supervisor Production Line              ,09-12-1991,29-10-2017,05-07-1972,25,45,Active
60506600,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12730,MV Gen Maint        ,Male,Production Scheduler                    ,27-01-1999,29-10-2017,25-05-1974,18,43,Active
60506620,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12740,MV Powerhouse       ,Male,Facilities Associate                    ,05-05-1988,29-10-2017,07-05-1962,29,55,Active
60506670,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12950,MV Prod. Mngmnt Comm,Male,Supervisor Production Area              ,24-03-1995,29-10-2017,19-04-1973,22,44,Active
60506690,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12240,MV Pass/LT Curing   ,Male,Supervisor Production Line              ,02-04-1987,29-10-2017,10-10-1962,30,55,Active
60506694,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12030,MV Mixing           ,Male,Supervisor Production Line              ,30-05-1984,29-10-2017,23-04-1961,33,56,Active
60506757,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12240,MV Pass/LT Curing   ,Male,Supervisor Production Line              ,11-05-1998,29-10-2017,25-05-1977,19,40,Active
60506803,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12180,MV PII Trk Tire Bldg,Male,Supervisor Production Line              ,12-03-1997,29-10-2017,09-03-1976,20,41,Active
60509956,Sumter           ,US-SC-Sumter-CTNA Prod        ,70700,Head of Quality     ,Male,Sr Quality Assurance Specialist         ,29-04-1992,29-10-2017,17-07-1969,25,48,Active
60510340,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Lead Technical Product Specialist       ,03-11-1997,29-10-2017,17-06-1970,19,47,Active
60511971,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Logistic Analyst                        ,09-11-2006,29-10-2017,20-11-1966,10,50,Active
60512116,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Sales Represeantive - SIBP           ,23-05-1990,29-10-2017,27-09-1967,27,50,Active
60513650,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99617,HQ Risk Management  ,Female,Sr Risk Analyst                         ,02-02-2000,29-10-2017,11-10-1960,17,57,Active
60513671,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Catalog Analyst                         ,21-02-2000,29-10-2017,21-09-1962,17,55,Active
60513684,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Senior SAP Analyst                      ,01-03-2000,29-10-2017,18-08-1979,17,38,Active
60513698,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99630,HQ IT Regional Oper ,Male,Project Team Leader                     ,15-11-2008,29-10-2017,03-05-1967,8,50,Active
60513941,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99640,HQ Personnel        ,Male,Director HR                             ,04-09-2001,29-10-2017,30-03-1976,16,41,Active
60514010,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Sr Marketing Analyst                    ,19-06-2000,29-10-2017,11-08-1977,17,40,Active
60514014,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Product Operations           ,15-06-2000,29-10-2017,28-02-1977,17,40,Active
60514176,Montvale         ,"US-NJ-Montvale CT NA, Inc.    ",99939,HQ-ContiTech Reb B-K,Male,Sr VP BU                                ,01-07-1994,29-10-2017,22-04-1964,23,53,Active
60514198,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,VP Sales & Marketing                    ,01-10-2000,29-10-2017,27-03-1970,17,47,Active
60514258,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Quality Assurance Specialist         ,06-11-2000,29-10-2017,26-08-1961,16,56,Active
60514265,Montvale         ,"US-NJ-Montvale CT NA, Inc.    ",99934,HQ-ContiTech ELAST-F,Male,Sales Team Leader - SIBP                ,01-11-2000,29-10-2017,30-10-1964,16,52,Active
60514306,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager IT Applications              ,01-11-1991,29-10-2017,29-01-1961,25,56,Active
60514324,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Product                      ,21-05-2003,29-10-2017,24-11-1971,14,45,Active
60514398,Sumter           ,US-SC-Sumter-CTNA Prod        ,70700,Head of Quality     ,Male,Quality Assurance Specialist            ,14-02-2001,29-10-2017,05-06-1967,16,50,Active
60514410,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99661,HQ Purch DirectTires,Female,Sr Manager Purchasing                   ,15-02-2007,29-10-2017,20-10-1974,10,43,Active
60514423,Uvalde           ,US-TX-Uvalde-CTNA Prod        ,99511,HQ Uvalde FACILITY  ,Male,Associate Test Engineer                 ,03-04-2004,29-10-2017,10-05-1971,13,46,Active
60514459,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12680,MV Pass PI          ,Male,PI Engineer                             ,26-03-2001,29-10-2017,30-03-1971,16,46,Active
60514478,AH-Harmon CT     ,US-MI-AH-Harmon-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Sales                        ,25-02-1988,29-10-2017,28-12-1965,29,51,Active
60514511,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Supervisor Customer Service             ,05-06-2001,29-10-2017,11-03-1971,16,46,Active
60514543,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Sales Represeantive - SIBP           ,02-07-2001,29-10-2017,12-07-1956,16,61,Active
60514550,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Sales                        ,25-06-2001,29-10-2017,18-09-1979,16,38,Active
60514551,AH-Harmon CT     ,US-MI-AH-Harmon-CTNA Prod     ,99524,HQ European OE Quali,Female,Principal Staff Development Engineer    ,25-06-2001,29-10-2017,26-11-1968,16,48,Active
60514574,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99646,HQ Financial Systems,Male,Sr Manager Finance                      ,16-07-2001,29-10-2017,10-11-1973,16,43,Active
60514609,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Product Operations           ,06-08-2001,29-10-2017,06-08-1962,16,55,Active
60514619,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Sales Represeantive - SIBP           ,01-08-2001,29-10-2017,12-05-1961,16,56,Active
60514625,Montvale         ,"US-NJ-Montvale CT NA, Inc.    ",99921,HQ-ContiTech ELAST-S,Male,Technical Product Specialist            ,01-08-2001,29-10-2017,04-04-1953,16,64,Active
60514681,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12250,MV Pass/LT F.F.     ,Male,Supervisor Production Line              ,24-09-2001,29-10-2017,01-05-1968,16,49,Active
60514727,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Director SCM                            ,01-09-2001,29-10-2017,08-02-1963,16,54,Active
60514728,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Product                      ,01-09-2001,29-10-2017,21-01-1972,16,45,Active
60514742,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12720,MV Plant Engineering,Male,Associate Reliablity Engineer           ,12-11-2001,29-10-2017,08-03-1979,15,38,Active
60514813,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12250,MV Pass/LT F.F.     ,Male,Supervisor Production Line              ,18-02-2002,29-10-2017,27-02-1981,15,36,Active
60514849,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager IT Applications              ,26-03-2007,29-10-2017,04-05-1958,10,59,Active
60514851,Sumter           ,US-SC-Sumter-CTNA Prod        ,70810,PI Material         ,Male,Manager Engineering                     ,16-10-2006,29-10-2017,16-11-1966,11,50,Active
60514857,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,31110,Process Engineering ,Male,Manufacturing Engineer                  ,06-03-2002,29-10-2017,24-05-1978,15,39,Active
60514883,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12570,MV Shipping and Whse,Male,Production Superindendent               ,25-03-2002,29-10-2017,24-03-1982,15,35,Active
60514907,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Director Sales                          ,01-04-2002,29-10-2017,25-09-1974,15,43,Active
60514908,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Account Manager                      ,01-04-2002,29-10-2017,04-08-1970,15,47,Active
60514923,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Technical Product Specialist            ,16-04-2002,29-10-2017,11-10-1970,15,47,Active
60514965,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12630,MV QA Engr - PLT    ,Male,Quality Assurance Specialist            ,29-04-2002,29-10-2017,04-03-1959,15,58,Active
60515012,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Manager Product Marketing               ,16-05-2002,29-10-2017,10-08-1954,15,63,Active
60515044,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12250,MV Pass/LT F.F.     ,Male,Supervisor Production Line              ,10-06-2002,29-10-2017,29-06-1983,15,34,Active
60515102,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Manager Credit                          ,24-06-2002,29-10-2017,08-12-1970,15,46,Active
60515107,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Manager Sales - SIBP                    ,01-07-2002,29-10-2017,16-02-1980,15,37,Active
60515139,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Manager Product Marketing               ,29-07-2002,29-10-2017,25-01-1959,15,58,Active
60515182,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12630,MV QA Engr - PLT    ,Male,Quality Engineer                        ,20-08-2002,29-10-2017,16-06-1980,15,37,Active
60515188,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12670,MV Pass Uniformity  ,Male,Sr Staff Quality Engineer               ,19-08-2002,29-10-2017,08-10-1961,15,56,Active
60515213,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12270,MV Truck F.F.       ,Male,Supervisor Production Area              ,03-09-2002,29-10-2017,10-02-1981,15,36,Active
60515220,AH-Harmon CT     ,US-MI-AH-Harmon-CTNA Prod     ,99522,HQ GM OE Qualificati,Male,Principal Staff Development Engineer    ,03-09-2002,29-10-2017,25-05-1975,15,42,Active
60515223,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Manager Promotions/Events               ,28-08-2002,29-10-2017,19-11-1955,15,61,Active
60515259,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Financial Analyst                       ,09-10-2002,29-10-2017,23-11-1959,15,57,Active
60515261,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Sr Manager Product Operations           ,21-10-2002,29-10-2017,03-10-1967,15,50,Active
60515264,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Finance                      ,28-10-2002,29-10-2017,25-04-1973,15,44,Active
60515265,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12570,MV Shipping and Whse,Female,Customer Analyst                        ,01-11-2002,29-10-2017,01-11-1964,14,52,Active
60515290,AH-Harmon CT     ,US-MI-AH-Harmon-CTNA Prod     ,99525,Product and Technolo,Male,Principal Staff Development Engineer    ,06-01-2003,29-10-2017,16-07-1969,14,48,Active
60515315,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12260,MV PII Truck Curing ,Male,Supervisor Production Line              ,20-01-2003,29-10-2017,03-12-1971,14,45,Active
60515345,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12650,MV QA Lab           ,Male,Quality Assurance Specialist            ,26-02-2003,29-10-2017,22-01-1975,14,42,Active
60515368,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99601,HQ Finance Executive,Male,Sr VP Finance                           ,31-03-2003,29-10-2017,10-04-1969,14,48,Active
60515377,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Manager Sales - SIBP                    ,05-05-2003,29-10-2017,10-05-1955,14,62,Active
60515392,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12260,MV PII Truck Curing ,Male,Supervisor Production Line              ,16-06-2003,29-10-2017,18-01-1981,14,36,Active
60515399,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,VP Sales & Marketing                    ,09-06-2003,29-10-2017,17-05-1965,14,52,Active
60515404,AH-Harmon CT     ,US-MI-AH-Harmon-CTNA Prod     ,99968,HQ Rebill           ,Male,Director Sales                          ,25-06-2003,29-10-2017,14-09-1981,14,36,Active
60515421,Somersworth      ,US-NH-Somersworth-CT Tpol     ,2301219720,Company Mgmt        ,Male,Sr Manager General Operations           ,04-08-2003,29-10-2017,21-09-1977,14,40,Active
60515439,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12180,MV PII Trk Tire Bldg,Male,Supervisor Production Line              ,25-08-2003,29-10-2017,10-04-1980,14,37,Active
60515470,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr VP BU                                ,01-10-2003,29-10-2017,26-04-1967,14,50,Active
60515476,Barnsville       ,US-GA-Barnsville-CTNA Aldora  ,18390,AD Direct Cabling   ,Male,Supervisor Production Line              ,10-11-2003,29-10-2017,01-05-1979,13,38,Active
60515485,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Account Manager                         ,01-12-2003,29-10-2017,06-10-1967,13,50,Active
60515494,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12270,MV Truck F.F.       ,Male,Supervisor Production Line              ,05-01-2004,29-10-2017,27-08-1965,13,52,Active
60515496,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99656,HQ Accounting Tire  ,Female,Sr Manager Accounting                   ,30-12-2003,29-10-2017,22-10-1976,13,41,Active
60515497,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,99534,HQ Brand Development,Male,Manager Development Engineering         ,23-06-2003,29-10-2017,16-03-1979,14,38,Active
60515499,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Sales Represeantive - SIBP           ,05-01-2004,29-10-2017,29-08-1978,13,39,Active
60515501,Uvalde           ,US-TX-Uvalde-CTNA Prod        ,99503,HQ SUBJECTIVE TIRE C,Male,Test Engineer                           ,27-03-2001,29-10-2017,11-07-1947,16,70,Active
60515502,AH-Harmon CT     ,US-MI-AH-Harmon-CTNA Prod     ,99525,Product and Technolo,Male,Manager Development Engineering         ,15-03-1990,29-10-2017,15-03-1960,27,57,Active
60515514,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Pricing                      ,19-01-2004,29-10-2017,28-06-1978,13,39,Active
60515526,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99561,CVT PDT NAFTA       ,Male,Development Engineer                    ,09-02-2004,29-10-2017,11-01-1967,13,50,Active
60515530,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Controller                           ,16-02-2004,29-10-2017,18-02-1979,13,38,Active
60515537,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99614,HQ Tax              ,Male,Director Tax                            ,23-02-2004,29-10-2017,19-08-1970,13,47,Active
60515540,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12170,MV Tire Assembly PLT,Male,Supervisor Production Line              ,26-02-2004,29-10-2017,26-01-1977,13,40,Active
60515608,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Sr Sales Forecasting Analyst            ,26-04-2004,29-10-2017,16-02-1974,13,43,Active
60515627,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12170,MV Tire Assembly PLT,Male,Supervisor Production Line              ,10-05-2004,29-10-2017,18-09-1982,13,35,Active
60515638,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99656,HQ Accounting Tire  ,Male,Sr Financial Analyst                    ,23-07-2007,29-10-2017,02-06-1970,10,47,Active
60515641,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Controller                           ,10-05-2004,29-10-2017,17-12-1971,13,45,Active
60515642,Uvalde           ,US-TX-Uvalde-CTNA Prod        ,99596,HQ CUST INT MGMT    ,Male,Sr Manager Test Engineering             ,20-08-2007,29-10-2017,11-01-1974,10,43,Active
60515643,Sumter           ,US-SC-Sumter-CTNA Prod        ,71100,Head of PE          ,Male,Manager Engineering                     ,01-05-2004,29-10-2017,11-06-1973,13,44,Active
60515649,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12050,MV CVT  Processing  ,Male,Supervisor Production Line              ,24-05-2004,29-10-2017,10-10-1977,13,40,Active
60515677,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Staff Marketing Analyst                 ,18-06-2004,29-10-2017,31-07-1975,13,42,Active
60515678,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Marketing Analyst                       ,18-06-2004,29-10-2017,20-09-1972,13,45,Active
60515682,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Logistic Analyst                        ,18-06-2004,29-10-2017,13-12-1960,13,56,Active
60515718,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Principal SCM Analyst                   ,14-07-2004,29-10-2017,01-11-1973,13,43,Active
60515720,Barnsville       ,US-GA-Barnsville-CTNA Aldora  ,18980,AD Payrolls         ,Male,Manager Controlling                     ,11-09-2004,29-10-2017,30-12-1956,13,60,Active
60515737,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Lead Pricing Specialist                 ,26-07-2004,29-10-2017,15-02-1969,13,48,Active
60515763,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Manager Business Dev                    ,23-08-2004,29-10-2017,07-01-1977,13,40,Active
60515822,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12030,MV Mixing           ,Male,Supervisor Production Line              ,27-09-2004,29-10-2017,18-06-1979,13,38,Active
60515829,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12030,MV Mixing           ,Male,Supervisor Production Line              ,27-09-2004,29-10-2017,09-03-1976,13,41,Active
60515834,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12510,MV Prod. Control    ,Male,Production Planner                      ,27-09-2004,29-10-2017,24-01-1981,13,36,Active
60515857,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Area Manager                            ,11-10-2004,29-10-2017,04-07-1964,13,53,Active
60515906,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,VP Finance & Controlling                ,15-11-2004,29-10-2017,04-09-1969,12,48,Active
60515920,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Assistant to the CEO                    ,22-11-2004,29-10-2017,26-06-1961,12,56,Active
60515927,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12170,MV Tire Assembly PLT,Male,Supervisor Production Line              ,01-12-2004,29-10-2017,04-12-1982,12,34,Active
60515948,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12570,MV Shipping and Whse,Female,Customer Analyst                        ,13-12-2004,29-10-2017,09-03-1973,12,44,Active
60515962,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,99628,HQ IT Mgmt Svcs     ,Male,Director IT                             ,10-01-2005,29-10-2017,23-06-1952,12,65,Active
60515996,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Pricing                      ,24-01-2005,29-10-2017,14-09-1977,12,40,Active
60516014,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12720,MV Plant Engineering,Male,Reliability Engineer                    ,01-02-2005,29-10-2017,30-06-1951,12,66,Active
60516069,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Manager Product Marketing               ,22-02-2005,29-10-2017,07-08-1974,12,43,Active
60516152,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Manager Major Accounts - SIBP           ,28-03-2005,29-10-2017,05-08-1975,12,42,Active
60516155,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Planner Scheduler                    ,04-04-2005,29-10-2017,25-11-1960,12,56,Active
60516180,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Account Manager                      ,01-09-1999,29-10-2017,24-06-1971,18,46,Active
60516206,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,99533,HQ PDI Interface Mgt,Male,Principal Staff Quality Engineer        ,02-05-2005,29-10-2017,25-12-1966,12,50,Active
60516207,Sumter           ,US-SC-Sumter-CTNA Prod        ,71000,Head of PO          ,Male,Sr Manager General Operations           ,25-04-2005,29-10-2017,16-07-1976,12,41,Active
60516217,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Pricing Associate                       ,16-05-2005,29-10-2017,26-01-1979,12,38,Active
60516223,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12630,MV QA Engr - PLT    ,Male,Quality Engineer                        ,16-05-2005,29-10-2017,26-03-1980,12,37,Active
60516251,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Manager A/R                             ,08-06-2005,29-10-2017,16-08-1974,12,43,Active
60516252,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Director Product Operations             ,06-06-2005,29-10-2017,27-02-1963,12,54,Active
60516266,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12180,MV PII Trk Tire Bldg,Male,Production Superindendent               ,13-06-2005,29-10-2017,08-10-1975,12,42,Active
60516286,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12170,MV Tire Assembly PLT,Male,Supervisor Production Line              ,13-06-2005,29-10-2017,29-08-1979,12,38,Active
60516296,Barnsville       ,US-GA-Barnsville-CTNA Aldora  ,18980,AD Payrolls         ,Male,IT Systems Analyst                      ,13-06-2005,29-10-2017,09-03-1977,12,40,Active
60516298,AH-Harmon CT     ,US-MI-AH-Harmon-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager SCM                          ,06-06-2005,29-10-2017,14-03-1979,12,38,Active
60516299,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12130,JV Stock Prep Genera,Male,Supervisor Production Line              ,13-06-2005,29-10-2017,29-12-1979,12,37,Active
60516314,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12690,MV Truck PI         ,Male,Sr Staff PI Engineer                    ,01-07-2005,29-10-2017,23-11-1969,12,47,Active
60516322,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99652,HQ HR Services & Sys,Male,Director HR Systems                     ,14-07-2005,29-10-2017,25-08-1970,12,47,Active
60516327,Uvalde           ,US-TX-Uvalde-CTNA Prod        ,99511,HQ Uvalde FACILITY  ,Male,Technical Project Lead                  ,18-07-2005,29-10-2017,03-09-1980,12,37,Active
60516337,Mt Vernon        ,US-IL-Mount Vernon-CTNA Prod  ,12730,MV Gen Maint        ,Male,Supervisor Maintenance                  ,25-07-2005,29-10-2017,19-08-1957,12,60,Active
60516355,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Female,Sr Manager Marketing                    ,08-08-2005,29-10-2017,15-05-1977,12,40,Active
60516371,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Manager Customer Service             ,15-08-2005,29-10-2017,06-09-1970,12,47,Active
60516376,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Lead Technical Product Specialist       ,29-08-2005,29-10-2017,15-06-1972,12,45,Active
60516380,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Principal IT Business Systems Analyst   ,01-09-2005,29-10-2017,15-07-1954,12,63,Active
60516397,Fort Mill-PLT    ,US-SC-Fort Mill-CTNA Prod     ,999HR     ,HR Dummy-CoCd515 Emp,Male,Sr Controller                           ,19-09-2005,29-10-2017,13-08-1964,12,53,Active
60516400,Fort Mill-Comm   ,US-SC-Fort Mill-CTNA Prod     ,99673,HQ Charlotte Facil  ,Male,Supervisor Facilities                   ,26-09-2005,29-10-2017,12-10-1956,12,61,Active
